0.139,5.283
8.220,13.247
16.057,21.188
24.126,29.048
32.125,37.384
40.020,45.093
47.926,52.953
55.948,61.127
64.041,69.788
72.017,76.777
80.051,85.008
87.876,92.740
96.084,101.715
103.921,108.971
112.094,117.145
119.815,124.970
128.046,132.830
136.092,140.748
144.068,149.629
151.963,156.317
159.985,164.885
168.310,172.501
176.193,181.336
184.030,189.034
191.948,197.137
200.028,205.079
208.086,212.881
216.062,220.915
223.864,228.415
232.107,236.727
239.967,243.937
247.966,252.830
256.093,260.818
264.115,268.887
271.871,275.841
280.160,284.793
287.985,292.200
296.461,299.874
304.216,308.164
312.030,316.128
319.983,323.512
328.260,332.823
336.480,339.209
344.364,348.264
352.015,354.128
360.188,363.311
368.071,371.612
376.245,378.183
384.221,385.788
392.220,393.915
400.440,402.727
408.149,410.006
